"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"498721830539378688","","","2014-08-11 06:45:24 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/WWSlW4UWtV","","","","https://twitter.com/nicholiswood/status/498721830539378688/photo/1"
"498721727384674306","","","2014-08-11 06:45:00 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/rnHLATS4L5","","","","https://twitter.com/nicholiswood/status/498721727384674306/photo/1"
"498719630413017088","","","2014-08-11 06:36:40 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/ArKdmBu8hH","","","","https://twitter.com/nicholiswood/status/498719630413017088/photo/1"
"488775947831627776","","","2014-07-14 20:04:01 +0000","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/TUlJrZLw14","","","","https://twitter.com/nicholiswood/status/488775947831627776/photo/1"
"488775897118302208","","","2014-07-14 20:03:49 +0000","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/jRlvh57dMT","","","","https://twitter.com/nicholiswood/status/488775897118302208/photo/1"
"488775584986570752","","","2014-07-14 20:02:35 +0000","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/9RPdElhz85","","","","https://twitter.com/nicholiswood/status/488775584986570752/photo/1"
"455600276565524480","455570377461092352","2443321562","2014-04-14 06:55:45 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@amandaalynnne And I love you 😘","","","",""
"427886743283458048","","","2014-01-27 19:32:04 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/V9lCOFgQlZ","","","","https://twitter.com/nicholiswood/status/427886743283458048/photo/1"
"427885575543087105","","","2014-01-27 19:27:25 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Wowluckky: @SonieTV @Methodeu Me and my brother are new to the streaming industry and you check us out? https://t.co/cvsKCO2gbT https://t…","427397017304694784","2244198684","2014-01-26 11:06:04 +0000","https://Twitch.tv/towls,https://twitch.tv/Unluckky,https://Twitch.tv/towls,https://twitch.tv/Unluckky"
"423620295820201984","","","2014-01-16 00:58:43 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Swerve https://t.co/mZ9HmMGBNM","","","","https://twitter.com/nicholiswood/status/423620295820201984/photo/1"
